date,price,excise,surcharge
2017-01-04,3709.0,1171.0,288.05
2017-01-05,3699.0,1171.0,288.05
2017-01-06,3681.0,1171.0,288.05
2017-01-10,3660.0,1171.0,288.05
2017-01-11,3636.0,1171.0,288.05
2017-01-12,3629.0,1171.0,288.05
2017-01-13,3627.0,1171.0,288.05
2017-01-14,3619.0,1171.0,288.05
2017-01-17,3615.0,1171.0,288.05
2017-01-18,3613.0,1171.0,288.05
2017-01-19,3604.0,1171.0,288.05
2017-01-20,3594.0,1171.0,288.05
2017-01-21,3600.0,1171.0,288.05
2017-01-24,3588.0,1171.0,288.05
2017-01-25,3604.0,1171.0,288.05
2017-01-26,3604.0,1171.0,288.05
2017-01-27,3611.0,1171.0,288.05
2017-01-28,3605.0,1171.0,288.05
2017-01-31,3600.0,1171.0,288.05
2017-02-01,3597.0,1171.0,288.05
2017-02-02,3599.0,1171.0,288.05
2017-02-03,3593.0,1171.0,288.05
2017-02-04,3596.0,1171.0,288.05
2017-02-07,3590.0,1171.0,288.05
2017-02-08,3584.0,1171.0,288.05
2017-02-09,3585.0,1171.0,288.05
2017-02-10,3586.0,1171.0,288.05
2017-02-11,3590.0,1171.0,288.05
2017-02-13,3599.0,1171.0,288.05
2017-02-14,3593.0,1171.0,288.05
2017-02-15,3596.0,1171.0,288.05
2017-02-16,3601.0,1171.0,288.05
2017-02-17,3597.0,1171.0,288.05
2017-02-18,3592.0,1171.0,288.05
2017-02-21,3599.0,1171.0,288.05
2017-02-22,3612.0,1171.0,288.05
2017-02-23,3606.0,1171.0,288.05
2017-02-24,3617.0,1171.0,288.05
2017-02-25,3613.0,1171.0,288.05
2017-02-28,3613.0,1171.0,288.05
2017-03-01,3604.0,1171.0,288.05
2017-03-02,3610.0,1171.0,288.05
2017-03-03,3602.0,1171.0,288.05
2017-03-04,3597.0,1171.0,288.05
2017-03-07,3589.0,1171.0,288.05
2017-03-08,3591.0,1171.0,288.05
2017-03-09,3585.0,1171.0,288.05
2017-03-10,3557.0,1171.0,288.05
2017-03-11,3522.0,1171.0,288.05
2017-03-14,3487.0,1171.0,288.05
2017-03-15,3467.0,1171.0,288.05
2017-03-16,3464.0,1171.0,288.05
2017-03-17,3455.0,1171.0,288.05
2017-03-18,3449.0,1171.0,288.05
2017-03-21,3447.0,1171.0,288.05
2017-03-22,3437.0,1171.0,288.05
2017-03-23,3427.0,1171.0,288.05
2017-03-24,3417.0,1171.0,288.05
2017-03-25,3409.0,1171.0,288.05
2017-03-28,3406.0,1171.0,288.05
2017-03-29,3411.0,1171.0,288.05
2017-03-30,3420.0,1171.0,288.05
2017-03-31,3445.0,1171.0,288.05
2017-04-01,3457.0,1171.0,288.05
2017-04-04,3465.0,1171.0,288.05
2017-04-05,3495.0,1171.0,288.05
2017-04-06,3511.0,1171.0,288.05
2017-04-07,3527.0,1171.0,288.05
2017-04-08,3544.0,1171.0,288.05
2017-04-11,3562.0,1171.0,288.05
2017-04-12,3579.0,1171.0,288.05
2017-04-13,3591.0,1171.0,288.05
2017-04-14,3592.0,1171.0,288.05
2017-04-19,3572.0,1171.0,288.05
2017-04-20,3562.0,1171.0,288.05
2017-04-21,3547.0,1171.0,288.05
2017-04-22,3525.0,1171.0,288.05
2017-04-25,3496.0,1171.0,288.05
2017-04-26,3474.0,1171.0,288.05
2017-04-27,3433.0,1171.0,288.05
2017-04-28,3421.0,1171.0,288.05
2017-04-29,3411.0,1171.0,288.05
2017-05-03,3391.0,1171.0,288.05
2017-05-05,3347.0,1171.0,288.05
2017-05-06,3329.0,1171.0,288.05
2017-05-09,3319.0,1171.0,288.05
2017-05-10,3326.0,1171.0,288.05
2017-05-11,3339.0,1171.0,288.05
2017-05-12,3364.0,1171.0,288.05
2017-05-13,3383.0,1171.0,288.05
2017-05-16,3392.0,1171.0,288.05
2017-05-17,3385.0,1171.0,288.05
2017-05-18,3387.0,1171.0,288.05
2017-05-19,3391.0,1171.0,288.05
2017-05-20,3399.0,1171.0,288.05
2017-05-23,3410.0,1171.0,288.05
2017-05-24,3405.0,1171.0,288.05
2017-05-25,3412.0,1171.0,288.05
2017-05-26,3401.0,1171.0,288.05
2017-05-27,3382.0,1171.0,288.05
2017-05-31,3359.0,1171.0,288.05
2017-06-01,3334.0,1171.0,288.05
2017-06-02,3322.0,1171.0,288.05
2017-06-03,3301.0,1171.0,288.05
2017-06-06,3281.0,1171.0,288.05
2017-06-07,3260.0,1171.0,288.05
2017-06-08,3243.0,1171.0,288.05
2017-06-09,3240.0,1171.0,288.05
2017-06-10,3244.0,1171.0,288.05
2017-06-13,3250.0,1171.0,288.05
2017-06-14,3247.0,1171.0,288.05
2017-06-15,3244.0,1171.0,288.05
2017-06-17,3242.0,1171.0,288.05
2017-06-20,3249.0,1171.0,288.05
2017-06-21,3249.0,1171.0,288.05
2017-06-22,3264.0,1171.0,288.05
2017-06-23,3273.0,1171.0,288.05
2017-06-24,3267.0,1171.0,288.05
2017-06-27,3261.0,1171.0,288.05
2017-06-28,3285.0,1171.0,288.05
2017-06-29,3288.0,1171.0,288.05
2017-06-30,3329.0,1171.0,288.05
2017-07-01,3329.0,1171.0,288.05
2017-07-04,3346.0,1171.0,288.05
2017-07-05,3379.0,1171.0,288.05
2017-07-06,3379.0,1171.0,288.05
2017-07-07,3386.0,1171.0,288.05
2017-07-08,3360.0,1171.0,288.05
2017-07-11,3346.0,1171.0,288.05
2017-07-12,3344.0,1171.0,288.05
2017-07-13,3346.0,1171.0,288.05
2017-07-14,3355.0,1171.0,288.05
2017-07-15,3368.0,1171.0,288.05
2017-07-18,3369.0,1171.0,288.05
2017-07-19,3367.0,1171.0,288.05
2017-07-20,3367.0,1171.0,288.05
2017-07-21,3377.0,1171.0,288.05
2017-07-22,3367.0,1171.0,288.05
2017-07-25,3360.0,1171.0,288.05
2017-07-26,3359.0,1171.0,288.05
2017-07-27,3343.0,1171.0,288.05
2017-07-28,3367.0,1171.0,288.05
2017-07-29,3388.0,1171.0,288.05
2017-08-01,3402.0,1171.0,288.05
2017-08-02,3398.0,1171.0,288.05
2017-08-03,3398.0,1171.0,288.05
2017-08-04,3400.0,1171.0,288.05
2017-08-05,3397.0,1171.0,288.05
2017-08-08,3389.0,1171.0,288.05
2017-08-09,3389.0,1171.0,288.05
2017-08-10,3391.0,1171.0,288.05
2017-08-11,3405.0,1171.0,288.05
2017-08-12,3411.0,1171.0,288.05
2017-08-15,3407.0,1171.0,288.05
2017-08-17,3380.0,1171.0,288.05
2017-08-18,3360.0,1171.0,288.05
2017-08-19,3365.0,1171.0,288.05
2017-08-22,3367.0,1171.0,288.05
2017-08-23,3375.0,1171.0,288.05
2017-08-24,3381.0,1171.0,288.05
2017-08-25,3393.0,1171.0,288.05
2017-08-26,3392.0,1171.0,288.05
2017-08-30,3385.0,1171.0,288.05
2017-08-31,3395.0,1171.0,288.05
2017-09-01,3411.0,1171.0,288.05
2017-09-02,3451.0,1171.0,288.05
2017-09-03,3451.0,1171.0,288.05
2017-09-05,3453.0,1171.0,288.05
2017-09-06,3469.0,1171.0,288.05
2017-09-07,3477.0,1171.0,288.05
2017-09-08,3491.0,1171.0,288.05
2017-09-09,3487.0,1171.0,288.05
2017-09-12,3479.0,1171.0,288.05
2017-09-13,3468.0,1171.0,288.05
2017-09-14,3480.0,1171.0,288.05
2017-09-15,3493.0,1171.0,288.05
2017-09-16,3515.0,1171.0,288.05
2017-09-19,3509.0,1171.0,288.05
2017-09-20,3508.0,1171.0,288.05
2017-09-21,3515.0,1171.0,288.05
2017-09-22,3527.0,1171.0,288.05
2017-09-23,3532.0,1171.0,288.05
2017-09-26,3553.0,1171.0,288.05
2017-09-27,3559.0,1171.0,288.05
2017-09-28,3583.0,1171.0,288.05
2017-09-29,3597.0,1171.0,288.05
2017-09-30,3597.0,1171.0,288.05
2017-10-03,3588.0,1171.0,288.05
2017-10-04,3566.0,1171.0,288.05
2017-10-05,3547.0,1171.0,288.05
2017-10-06,3557.0,1171.0,288.05
2017-10-07,3547.0,1171.0,288.05
2017-10-10,3538.0,1171.0,288.05
2017-10-11,3535.0,1171.0,288.05
2017-10-12,3524.0,1171.0,288.05
2017-10-13,3518.0,1171.0,288.05
2017-10-14,3523.0,1171.0,288.05
2017-10-17,3536.0,1171.0,288.05
2017-10-18,3551.0,1171.0,288.05
2017-10-19,3544.0,1171.0,288.05
2017-10-20,3535.0,1171.0,288.05
2017-10-21,3536.0,1171.0,288.05
2017-10-24,3531.0,1171.0,288.05
2017-10-25,3527.0,1171.0,288.05
2017-10-26,3535.0,1171.0,288.05
2017-10-27,3541.0,1171.0,288.05
2017-10-28,3574.0,1171.0,288.05
2017-10-31,3593.0,1171.0,288.05
2017-11-01,3610.0,1171.0,288.05
2017-11-03,3604.0,1171.0,288.05
2017-11-04,3604.0,1171.0,288.05
2017-11-07,3617.0,1171.0,288.05
2017-11-08,3642.0,1171.0,288.05
