Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,4.40074,4.4289,4.39895,4.40074,4.40074,0.0
2017-01-03,4.40988,4.4124,4.38,4.40925,4.40925,0.0
2017-01-04,4.38613,4.39039,4.3649,4.3854,4.3854,0.0
2017-01-05,4.3666,4.38266,4.359,4.3687,4.3687,0.0
2017-01-06,4.36236,4.36819,4.347,4.36105,4.36105,0.0
2017-01-09,4.35195,4.3845,4.351,4.35405,4.35405,0.0
2017-01-10,4.3803,4.3835,4.361,4.3794,4.3794,0.0
2017-01-11,4.3693,4.3742,4.361,4.3697,4.3697,0.0
2017-01-12,4.3703,4.37822,4.364,4.3695,4.3695,0.0
2017-01-13,4.3702,4.3815,4.366,4.36884,4.36884,0.0
2017-01-16,4.38195,4.3863,4.367,4.38223,4.38223,0.0
2017-01-17,4.372,4.3774,4.362,4.37203,4.37203,0.0
2017-01-18,4.36019,4.37711,4.358,4.35958,4.35958,0.0
2017-01-19,4.35905,4.37614,4.354,4.35901,4.35901,0.0
2017-01-20,4.3714,4.37391,4.361,4.3716,4.3716,0.0
2017-01-23,4.36715,4.37511,4.364,4.3669,4.3669,0.0
2017-01-24,4.37415,4.37728,4.364,4.3738,4.3738,0.0
2017-01-25,4.3683,4.3696,4.347,4.36621,4.36621,0.0
2017-01-26,4.35257,4.35739,4.334,4.3522,4.3522,0.0
2017-01-27,4.3417,4.3488,4.32955,4.34246,4.34246,0.0
2017-01-30,4.32985,4.3372,4.32,4.3295,4.3295,0.0
2017-01-31,4.33195,4.3388,4.31652,4.33395,4.33395,0.0
2017-02-01,4.3228,4.32618,4.313,4.32008,4.32008,0.0
2017-02-02,4.305,4.31281,4.296,4.3043,4.3043,0.0
2017-02-03,4.316,4.3178,4.28676,4.31351,4.31351,0.0
2017-02-06,4.29745,4.3049,4.273,4.2972,4.2972,0.0
2017-02-07,4.2926,4.3083,4.269,4.2938,4.2938,0.0
2017-02-08,4.30624,4.3191,4.293,4.30616,4.30616,0.0
2017-02-09,4.30989,4.3233,4.303,4.3133,4.3133,0.0
2017-02-10,4.31071,4.3158,4.285,4.3115,4.3115,0.0
2017-02-13,4.29225,4.32226,4.289,4.29351,4.29351,0.0
2017-02-14,4.30945,4.3177,4.29422,4.30891,4.30891,0.0
2017-02-15,4.3017,4.31151,4.294,4.3012,4.3012,0.0
2017-02-16,4.3114,4.32211,4.306,4.30698,4.30698,0.0
2017-02-17,4.31465,4.33454,4.307,4.3153,4.3153,0.0
2017-02-20,4.3275,4.3323,4.3135,4.32672,4.32672,0.0
2017-02-21,4.31407,4.31815,4.296,4.3141,4.3141,0.0
2017-02-22,4.29309,4.30554,4.285,4.29309,4.29309,0.0
2017-02-23,4.29729,4.31175,4.292,4.29729,4.29729,0.0
2017-02-24,4.3013,4.31226,4.297,4.3018,4.3018,0.0
2017-02-27,4.31159,4.31789,4.305,4.3146,4.3146,0.0
2017-02-28,4.31059,4.3193,4.309,4.3123,4.3123,0.0
2017-03-01,4.30437,4.3079,4.291,4.30436,4.30436,0.0
2017-03-02,4.27965,4.30465,4.276,4.27859,4.27859,0.0
2017-03-03,4.29576,4.31311,4.288,4.2974,4.2974,0.0
2017-03-06,4.29995,4.3163,4.29744,4.30019,4.30019,0.0
2017-03-07,4.30593,4.3128,4.298,4.3065,4.3065,0.0
2017-03-08,4.30283,4.3135,4.3,4.30289,4.30289,0.0
2017-03-09,4.3068,4.3236,4.303,4.3091,4.3091,0.0
2017-03-10,4.3246,4.33199,4.315,4.3246,4.3246,0.0
2017-03-13,4.33295,4.34807,4.332,4.33289,4.33289,0.0
2017-03-14,4.32937,4.33826,4.316,4.32925,4.32925,0.0
2017-03-15,4.31591,4.32388,4.307,4.3174,4.3174,0.0
2017-03-16,4.3117,4.3171,4.291,4.3117,4.3117,0.0
2017-03-17,4.309,4.3098,4.282,4.3092,4.3092,0.0
2017-03-20,4.28293,4.2897,4.271,4.2838,4.2838,0.0
2017-03-21,4.26264,4.2763,4.256,4.2643,4.2643,0.0
