date,price,excise,surcharge
2017-01-04,3727.0,1540.0,129.41
2017-01-05,3725.0,1540.0,129.41
2017-01-06,3717.0,1540.0,129.41
2017-01-10,3703.0,1540.0,129.41
2017-01-11,3681.0,1540.0,129.41
2017-01-12,3688.0,1540.0,129.41
2017-01-13,3694.0,1540.0,129.41
2017-01-14,3695.0,1540.0,129.41
2017-01-17,3702.0,1540.0,129.41
2017-01-18,3700.0,1540.0,129.41
2017-01-19,3693.0,1540.0,129.41
2017-01-20,3684.0,1540.0,129.41
2017-01-21,3684.0,1540.0,129.41
2017-01-24,3682.0,1540.0,129.41
2017-01-25,3693.0,1540.0,129.41
2017-01-26,3688.0,1540.0,129.41
2017-01-27,3691.0,1540.0,129.41
2017-01-28,3685.0,1540.0,129.41
2017-01-31,3674.0,1540.0,129.41
2017-02-01,3688.0,1540.0,129.41
2017-02-02,3708.0,1540.0,129.41
2017-02-03,3696.0,1540.0,129.41
2017-02-04,3696.0,1540.0,129.41
2017-02-07,3689.0,1540.0,129.41
2017-02-08,3681.0,1540.0,129.41
2017-02-09,3691.0,1540.0,129.41
2017-02-10,3702.0,1540.0,129.41
2017-02-11,3749.0,1540.0,129.41
2017-02-13,3749.0,1540.0,129.41
2017-02-14,3735.0,1540.0,129.41
2017-02-15,3735.0,1540.0,129.41
2017-02-16,3735.0,1540.0,129.41
2017-02-17,3723.0,1540.0,129.41
2017-02-18,3710.0,1540.0,129.41
2017-02-21,3707.0,1540.0,129.41
2017-02-22,3721.0,1540.0,129.41
2017-02-23,3702.0,1540.0,129.41
2017-02-24,3707.0,1540.0,129.41
2017-02-25,3701.0,1540.0,129.41
2017-02-28,3700.0,1540.0,129.41
2017-03-01,3687.0,1540.0,129.41
2017-03-02,3680.0,1540.0,129.41
2017-03-03,3658.0,1540.0,129.41
2017-03-04,3644.0,1540.0,129.41
2017-03-07,3625.0,1540.0,129.41
2017-03-08,3629.0,1540.0,129.41
2017-03-09,3627.0,1540.0,129.41
2017-03-10,3606.0,1540.0,129.41
2017-03-11,3591.0,1540.0,129.41
2017-03-14,3575.0,1540.0,129.41
2017-03-15,3550.0,1540.0,129.41
2017-03-16,3531.0,1540.0,129.41
2017-03-17,3526.0,1540.0,129.41
2017-03-18,3530.0,1540.0,129.41
2017-03-21,3550.0,1540.0,129.41
2017-03-22,3530.0,1540.0,129.41
2017-03-23,3526.0,1540.0,129.41
2017-03-24,3539.0,1540.0,129.41
2017-03-25,3547.0,1540.0,129.41
2017-03-28,3555.0,1540.0,129.41
2017-03-29,3566.0,1540.0,129.41
2017-03-30,3590.0,1540.0,129.41
2017-03-31,3617.0,1540.0,129.41
2017-04-01,3625.0,1540.0,129.41
2017-04-04,3649.0,1540.0,129.41
2017-04-05,3696.0,1540.0,129.41
2017-04-06,3692.0,1540.0,129.41
2017-04-07,3701.0,1540.0,129.41
2017-04-08,3706.0,1540.0,129.41
2017-04-11,3722.0,1540.0,129.41
2017-04-12,3724.0,1540.0,129.41
2017-04-13,3737.0,1540.0,129.41
2017-04-14,3732.0,1540.0,129.41
2017-04-19,3723.0,1540.0,129.41
2017-04-20,3714.0,1540.0,129.41
2017-04-21,3698.0,1540.0,129.41
2017-04-22,3677.0,1540.0,129.41
2017-04-25,3647.0,1540.0,129.41
2017-04-26,3623.0,1540.0,129.41
2017-04-27,3600.0,1540.0,129.41
2017-04-28,3571.0,1540.0,129.41
2017-04-29,3546.0,1540.0,129.41
2017-05-03,3528.0,1540.0,129.41
2017-05-05,3491.0,1540.0,129.41
2017-05-06,3485.0,1540.0,129.41
2017-05-09,3474.0,1540.0,129.41
2017-05-10,3471.0,1540.0,129.41
2017-05-11,3510.0,1540.0,129.41
2017-05-12,3539.0,1540.0,129.41
2017-05-13,3547.0,1540.0,129.41
2017-05-16,3564.0,1540.0,129.41
2017-05-17,3550.0,1540.0,129.41
2017-05-18,3545.0,1540.0,129.41
2017-05-19,3542.0,1540.0,129.41
2017-05-20,3550.0,1540.0,129.41
2017-05-23,3557.0,1540.0,129.41
2017-05-24,3550.0,1540.0,129.41
2017-05-25,3554.0,1540.0,129.41
2017-05-26,3544.0,1540.0,129.41
2017-05-27,3532.0,1540.0,129.41
2017-05-31,3524.0,1540.0,129.41
2017-06-01,3513.0,1540.0,129.41
2017-06-02,3524.0,1540.0,129.41
2017-06-03,3507.0,1540.0,129.41
2017-06-06,3494.0,1540.0,129.41
2017-06-07,3484.0,1540.0,129.41
2017-06-08,3473.0,1540.0,129.41
2017-06-09,3455.0,1540.0,129.41
2017-06-10,3459.0,1540.0,129.41
