Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,3.5932,3.6261,3.5738,3.5738,3.5738,0.0
2002-04-02,3.5738,3.6196,3.5738,3.6089,3.6089,0.0
2002-04-03,3.6028,3.611,3.584,3.6043,3.6043,0.0
2002-04-04,3.6002,3.6132,3.5903,3.5986,3.5986,0.0
2002-04-05,3.594,3.6036,3.5833,3.5929,3.5929,0.0
2002-04-08,3.5833,3.6002,3.5735,3.58,3.58,0.0
2002-04-09,3.5829,3.5993,3.5743,3.5945,3.5945,0.0
2002-04-10,3.6026,3.61,3.5729,3.5932,3.5932,0.0
2002-04-11,3.5883,3.6064,3.582,3.5919,3.5919,0.0
2002-04-12,3.5899,3.5967,3.565,3.578,3.578,0.0
2002-04-15,3.5818,3.5972,3.5539,3.574,3.574,0.0
2002-04-16,3.5761,3.592,3.568,3.5811,3.5811,0.0
2002-04-17,3.5825,3.5984,3.5586,3.5828,3.5828,0.0
2002-04-18,3.5977,3.5997,3.5768,3.5826,3.5826,0.0
2002-04-19,3.5932,3.5958,3.577,3.581,3.581,0.0
2002-04-22,3.5837,3.5922,3.5727,3.5727,3.5727,0.0
2002-04-23,3.5821,3.6104,3.5685,3.59,3.59,0.0
2002-04-24,3.5797,3.6057,3.5777,3.6017,3.6017,0.0
2002-04-25,3.6027,3.6188,3.5925,3.6173,3.6173,0.0
2002-04-26,3.6153,3.6173,3.568,3.5912,3.5912,0.0
2002-04-29,3.5999,3.6011,3.58,3.5879,3.5879,0.0
2002-04-30,3.5899,3.6116,3.581,3.5928,3.5928,0.0
2002-05-01,3.591,3.6171,3.589,3.5995,3.5995,0.0
2002-05-02,3.6001,3.6294,3.5898,3.6243,3.6243,0.0
2002-05-03,3.622,3.6666,3.6183,3.654,3.654,0.0
2002-05-06,3.6509,3.654,3.6128,3.6295,3.6295,0.0
2002-05-07,3.6327,3.6356,3.604,3.6187,3.6187,0.0
2002-05-08,3.61,3.6358,3.608,3.6143,3.6143,0.0
2002-05-09,3.6193,3.6627,3.6122,3.6623,3.6623,0.0
2002-05-10,3.6718,3.6789,3.6377,3.657,3.657,0.0
2002-05-13,3.6643,3.6946,3.652,3.6946,3.6946,0.0
2002-05-14,3.6853,3.7414,3.677,3.6904,3.6904,0.0
2002-05-15,3.6811,3.726,3.6588,3.725,3.725,0.0
2002-05-16,3.7371,3.7615,3.7111,3.7367,3.7367,0.0
2002-05-17,3.7382,3.778,3.7345,3.7683,3.7683,0.0
2002-05-20,3.7732,3.7778,3.743,3.754,3.754,0.0
2002-05-21,3.7362,3.7761,3.7349,3.7685,3.7685,0.0
2002-05-22,3.7705,3.7909,3.7569,3.7818,3.7818,0.0
2002-05-23,3.7831,3.7878,3.751,3.7755,3.7755,0.0
2002-05-24,3.7696,3.7816,3.7481,3.7536,3.7536,0.0
2002-05-27,3.7484,3.7618,3.7321,3.7544,3.7544,0.0
2002-05-28,3.7431,3.767,3.7172,3.7546,3.7546,0.0
2002-05-29,3.7541,3.78,3.7475,3.7732,3.7732,0.0
2002-05-30,3.7708,3.7883,3.7399,3.768,3.768,0.0
2002-05-31,3.7831,3.8045,3.7325,3.7528,3.7528,0.0
2002-06-03,3.7469,3.7766,3.738,3.7766,3.7766,0.0
2002-06-04,3.7745,3.7997,3.768,3.7712,3.7712,0.0
2002-06-05,3.7716,3.8195,3.7503,3.7515,3.7515,0.0
2002-06-06,3.7684,3.7915,3.7475,3.783,3.783,0.0
2002-06-07,3.7904,3.8081,3.7697,3.7962,3.7962,0.0
2002-06-10,3.7688,3.8233,3.7688,3.7984,3.7984,0.0
2002-06-11,3.7917,3.8282,3.7889,3.8179,3.8179,0.0
2002-06-12,3.8069,3.8306,3.7855,3.7946,3.7946,0.0
2002-06-13,3.7829,3.8074,3.7757,3.7948,3.7948,0.0
2002-06-14,3.7841,3.831,3.7787,3.824,3.824,0.0
2002-06-17,3.796,3.8271,3.7196,3.8205,3.8205,0.0
2002-06-18,3.8294,3.8461,3.7836,3.7974,3.7974,0.0
2002-06-19,3.833,3.849,3.8143,3.842,3.842,0.0
2002-06-20,3.8465,3.8811,3.84,3.8769,3.8769,0.0
2002-06-21,3.8727,3.9182,3.7974,3.8982,3.8982,0.0
2002-06-24,3.8893,3.9575,3.8753,3.9133,3.9133,0.0
2002-06-25,3.9103,3.9389,3.8862,3.9364,3.9364,0.0
2002-06-26,3.9637,4.0237,3.9364,3.9757,3.9757,0.0
2002-06-27,3.9382,4.002,3.9358,4.0017,4.0017,0.0
2002-06-28,3.9959,4.065,3.975,4.0134,4.0134,0.0
2002-07-01,4.0294,4.0473,3.9588,3.9859,3.9859,0.0
2002-07-02,3.964,4.032,3.9209,4.0206,4.0206,0.0
2002-07-03,3.9938,4.0631,3.988,4.0283,4.0283,0.0
2002-07-04,3.9532,4.046,3.9532,4.0283,4.0283,0.0
2002-07-05,3.9987,4.0666,3.9973,4.0609,4.0609,0.0
2002-07-08,4.0915,4.1626,4.066,4.1405,4.1405,0.0
2002-07-09,4.1002,4.1961,4.0981,4.1903,4.1903,0.0
2002-07-10,4.1508,4.2024,4.0772,4.1125,4.1125,0.0
2002-07-11,4.0983,4.1656,4.0814,4.1479,4.1479,0.0
2002-07-12,4.1049,4.1479,4.09,4.1303,4.1303,0.0
2002-07-15,4.1262,4.2192,4.1262,4.1998,4.1998,0.0
2002-07-16,4.2029,4.2248,4.1449,4.153,4.153,0.0
2002-07-17,4.1626,4.1793,4.0991,4.1195,4.1195,0.0
2002-07-18,4.1086,4.131,4.065,4.0685,4.0685,0.0
2002-07-19,4.1176,4.1206,4.0722,4.0902,4.0902,0.0
2002-07-22,4.0552,4.1666,4.0409,4.0988,4.0988,0.0
2002-07-23,4.0049,4.0676,3.9985,4.0609,4.0609,0.0
2002-07-24,4.049,4.0983,4.0308,4.0417,4.0417,0.0
2002-07-25,4.0664,4.1056,4.04,4.083,4.083,0.0
2002-07-26,4.0727,4.12,4.0444,4.0875,4.0875,0.0
2002-07-29,4.0437,4.07,4.0131,4.0545,4.0545,0.0
2002-07-30,4.05,4.1141,4.0294,4.1111,4.1111,0.0
2002-07-31,4.0544,4.1111,4.0483,4.0931,4.0931,0.0
2002-08-01,4.0848,4.135,4.0121,4.1274,4.1274,0.0
2002-08-02,4.1372,4.159,4.108,4.1323,4.1323,0.0
2002-08-05,4.125,4.1323,4.0811,4.093,4.093,0.0
2002-08-06,4.0688,4.0974,4.0285,4.0736,4.0736,0.0
2002-08-07,4.0668,4.1005,4.041,4.0812,4.0812,0.0
2002-08-08,4.0789,4.1044,4.0348,4.0714,4.0714,0.0
2002-08-09,4.0516,4.0917,4.0345,4.0734,4.0734,0.0
2002-08-12,4.0669,4.0967,4.054,4.095,4.095,0.0
2002-08-13,4.0871,4.145,4.0679,4.1086,4.1086,0.0
2002-08-14,4.1096,4.1263,4.0799,4.0855,4.0855,0.0
2002-08-15,4.0671,4.1423,4.0445,4.0926,4.0926,0.0
2002-08-16,4.0694,4.1176,4.0661,4.1028,4.1028,0.0
2002-08-19,4.1107,4.121,4.0508,4.067,4.067,0.0
