Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,6.6906,6.7061,6.6547,6.6888,6.6888,0.0
2003-12-02,6.6896,6.7158,6.661,6.6679,6.6679,0.0
2003-12-03,6.6663,6.6858,6.5926,6.6057,6.6057,0.0
2003-12-04,6.605,6.6329,6.5762,6.5773,6.5773,0.0
2003-12-05,6.5785,6.6135,6.5693,6.6116,6.6116,0.0
2003-12-08,6.5993,6.6231,6.5803,6.5974,6.5974,0.0
2003-12-09,6.5974,6.6748,6.597,6.6597,6.6597,0.0
2003-12-10,6.6586,6.6613,6.6022,6.6133,6.6133,0.0
2003-12-11,6.6129,6.6699,6.6037,6.6593,6.6593,0.0
2003-12-12,6.6604,6.6624,6.6133,6.6179,6.6179,0.0
2003-12-15,6.6318,6.6409,6.5811,6.5836,6.5836,0.0
2003-12-16,6.5821,6.625,6.5432,6.6186,6.6186,0.0
2003-12-17,6.6178,6.6261,6.5724,6.6007,6.6007,0.0
2003-12-18,6.6003,6.6349,6.59,6.6081,6.6081,0.0
2003-12-19,6.6073,6.6425,6.5967,6.626,6.626,0.0
2003-12-22,6.6182,6.6279,6.5663,6.5754,6.5754,0.0
2003-12-23,6.5762,6.8793,6.5758,6.5907,6.5907,0.0
2003-12-24,6.5914,6.6598,6.5892,6.6267,6.6267,0.0
2003-12-25,6.6248,6.6357,6.6092,6.6331,6.6331,0.0
2003-12-26,6.6316,6.651,6.6046,6.6184,6.6184,0.0
2003-12-29,6.6491,6.6631,6.6249,6.6616,6.6616,0.0
2003-12-30,6.6616,6.6872,6.6399,6.6723,6.6723,0.0
2003-12-31,6.672,6.7035,6.6268,6.6708,6.6708,0.0
2004-01-01,6.6565,6.6565,6.6305,6.6446,6.6446,0.0
2004-01-02,6.6446,6.6822,6.6212,6.6721,6.6721,0.0
2004-01-05,6.6687,6.6775,6.6323,6.6576,6.6576,0.0
2004-01-06,6.6573,6.7092,6.6124,6.6293,6.6293,0.0
2004-01-07,6.6311,6.7182,6.6167,6.6875,6.6875,0.0
2004-01-08,6.6805,6.7539,6.6662,6.7327,6.7327,0.0
2004-01-09,6.7316,6.7669,6.7071,6.7403,6.7403,0.0
2004-01-12,6.7365,6.7963,6.7329,6.7702,6.7702,0.0
2004-01-13,6.7716,6.8705,6.7614,6.8693,6.8693,0.0
2004-01-14,6.869,6.9,6.5844,6.866,6.866,0.0
2004-01-15,6.8705,6.8717,6.8142,6.8522,6.8522,0.0
2004-01-16,6.8526,6.8582,6.8037,6.8184,6.8184,0.0
2004-01-19,6.8252,6.8545,6.7729,6.7951,6.7951,0.0
2004-01-20,6.7951,6.8501,6.7791,6.8241,6.8241,0.0
2004-01-21,6.8222,6.8499,6.8045,6.8276,6.8276,0.0
2004-01-22,6.8328,6.8444,6.787,6.796,6.796,0.0
2004-01-23,6.7945,6.812,6.735,6.7698,6.7698,0.0
2004-01-26,6.7732,6.8221,6.7572,6.8112,6.8112,0.0
2004-01-27,6.8146,6.9178,6.7981,6.8604,6.8604,0.0
2004-01-28,6.8623,6.9102,6.8028,6.8099,6.8099,0.0
2004-01-29,6.8126,6.9822,6.8088,6.9528,6.9528,0.0
2004-01-30,6.9536,7.0293,6.934,7.0007,7.0007,0.0
2004-02-02,7.0226,7.0318,6.9688,7.0108,7.0108,0.0
2004-02-03,7.0058,7.028,6.9825,6.9924,6.9924,0.0
2004-02-04,6.9939,7.028,6.9825,7.0054,7.0054,0.0
2004-02-05,7.0058,7.0981,6.9701,7.0732,7.0732,0.0
2004-02-06,7.0763,7.1275,7.0234,7.0341,7.0341,0.0
2004-02-09,7.0258,7.0925,7.0258,7.0603,7.0603,0.0
2004-02-10,7.0606,7.11,7.0297,7.0917,7.0917,0.0
2004-02-11,7.0902,7.1856,7.0899,7.1572,7.1572,0.0
2004-02-12,7.1564,7.217,7.1388,7.1913,7.1913,0.0
2004-02-13,7.1905,7.2065,7.1452,7.1863,7.1863,0.0
2004-02-16,7.162,7.1933,7.1517,7.167,7.167,0.0
2004-02-17,7.1662,7.2298,7.1578,7.2136,7.2136,0.0
2004-02-18,7.2257,7.2618,7.1744,7.2328,7.2328,0.0
2004-02-19,7.2336,7.317,7.226,7.3128,7.3128,0.0
2004-02-20,7.3147,7.3178,7.2177,7.2309,7.2309,0.0
2004-02-23,7.1979,7.2661,7.1398,7.23,7.23,0.0
2004-02-24,7.2297,7.2923,7.2041,7.274,7.274,0.0
2004-02-25,7.272,7.3198,7.1968,7.2079,7.2079,0.0
2004-02-26,7.2208,7.3035,7.1917,7.2672,7.2672,0.0
2004-02-27,7.2641,7.3218,7.2441,7.3214,7.3214,0.0
2004-03-01,7.3167,7.3695,7.311,7.3309,7.3309,0.0
2004-03-02,7.3301,7.3391,7.2654,7.3026,7.3026,0.0
2004-03-03,7.3014,7.3131,7.2202,7.229,7.229,0.0
2004-03-04,7.2255,7.2566,7.1927,7.2044,7.2044,0.0
2004-03-05,7.2028,7.2796,7.1735,7.2086,7.2086,0.0
2004-03-08,7.2073,7.212,7.1085,7.1425,7.1425,0.0
2004-03-09,7.1417,7.1786,6.9797,7.0614,7.0614,0.0
2004-03-10,7.1417,7.1786,6.9673,6.9674,6.9674,0.0
2004-03-11,6.9794,7.0423,6.9573,6.9874,6.9874,0.0
2004-03-12,6.9866,7.0216,6.9151,7.0201,7.0201,0.0
2004-03-15,6.9833,7.0066,6.8884,6.9255,6.9255,0.0
2004-03-16,6.9224,6.9867,6.8912,6.9667,6.9667,0.0
2004-03-17,6.9694,7.0242,6.9581,6.9998,6.9998,0.0
2004-03-18,6.9987,7.0707,6.9964,7.0298,7.0298,0.0
2004-03-19,7.0267,7.0373,6.9773,7.0226,7.0226,0.0
2004-03-22,7.0184,7.0699,6.9923,7.0328,7.0328,0.0
2004-03-23,7.032,7.0675,7.0118,7.0636,7.0636,0.0
2004-03-24,7.0644,7.0701,7.008,7.0353,7.0353,0.0
